ipa,license,other
c_d077,http://creativecommons.org/licenses/by/3.0/it/deed.it,CC Attr. 3.0
c_a171,http://creativecommons.org/licenses/by/2.5/it/,
c_d817,http://creativecommons.org/licenses/by-sa/3.0/deed.it,Creative Commons - Attribuzione 3.0
c_i048,http://creativecommons.org/licenses/by/2.5/it/,
c_b825,https://creativecommons.org/licenses/by/2.0/,licenza CC
c_f866,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia
c_e662,http://creativecommons.org/licenses/by/2.5/it/,
c_l357,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia
c_e793,https://creativecommons.org/licenses/by/4.0/deed.it,Creative Commons Attribution 4.0
c_e746,http://creativecommons.org/licenses/by/2.5/it/,
c_d414,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia
c_i820,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia
c_d316,https://www.dati.gov.it/content/italian-open-data-license-v20,Italian Open Data License 2.0
c_l593,http://creativecommons.org/licenses/by/2.5/it/,
c_h769,https://creativecommons.org/licenses/by/3.0/it/,
c_d612,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT
c_h885,http://creativecommons.org/licenses/by/2.5/it/,
c_g224,http://creativecommons.org/licenses/by/4.0/deed.it,"(CC BY
              4.0)"
c_b476,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia
c_i914,https://creativecommons.org/licenses/by/4.0/deed.it,Creative Commons Attribution 4.0
c_e632,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT
c_l219,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT
c_f482,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_l575,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_e492,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l308,http://creativecommons.org/licenses/by/3.0/it/legalcode,http://creativecommons.org/licenses/by/3.0/it/legalcode
c_ku0k,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT
c_d651,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY)
c_d714,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_i576,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_c710,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons
c_a804,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons
