ipa,license,other
c_l406,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,2008 - 2019
c_d077,http://creativecommons.org/licenses/by/3.0/it/deed.it,CC Attr. 3.0
c_g924,http://creativecommons.org/licenses/by-nc-nd/3.0/deed.it,
c_h043,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,2008 - 2019
c_h716,http://creativecommons.org/licenses/by-nc-nd/3.0/it/,
c_a171,http://creativecommons.org/licenses/by/2.5/it/,
c_l427,http://creativecommons.org/licenses/by-nc-nd/3.0/it/,
c_i234,http://creativecommons.org/licenses/by-nc-nd/3.0/it/,
c_d817,http://creativecommons.org/licenses/by-sa/3.0/deed.it,Creative Commons - Attribuzione 3.0
c_f806,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,2008 -
c_g001,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,2008 - 2019
c_i048,http://creativecommons.org/licenses/by/2.5/it/,
c_b825,https://creativecommons.org/licenses/by/2.0/,licenza CC
c_f866,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia
c_e662,http://creativecommons.org/licenses/by/2.5/it/,
c_l357,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia
c_e793,https://creativecommons.org/licenses/by/4.0/deed.it,Creative Commons Attribution 4.0
c_d985,http://creativecommons.org/licenses/by-nc-sa/2.5/it/,
c_e746,http://creativecommons.org/licenses/by/2.5/it/,
c_d414,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia
c_a285,http://creativecommons.org/licenses/by-nc/3.0/it/,
c_i820,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia
c_d316,https://www.dati.gov.it/content/italian-open-data-license-v20,Italian Open Data License 2.0
c_b684,http://creativecommons.org/licenses/by-nc-sa/2.5/it/,
c_i512,http://creativecommons.org/licenses/by-nc-nd/3.0/it/,
c_l593,http://creativecommons.org/licenses/by/2.5/it/,
c_h769,https://creativecommons.org/licenses/by/3.0/it/,
c_h285,http://creativecommons.org/licenses/by-nc-nd/3.0/it/,
c_i210,http://creativecommons.org/licenses/by-nc-nd/3.0/it/,
c_l367,http://creativecommons.org/licenses/by-nc-nd/3.0/it/,
c_d612,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT
c_c529,http://creativecommons.org/licenses/by-nc-sa/2.5/it/,
c_m059,http://creativecommons.org/licenses/by-nc-sa/2.5/it/,
c_h282,http://creativecommons.org/licenses/by-nc-sa/2.5/it/,Licenza
c_l812,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,2008 - 2019
c_g474,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,2008 - 2019
c_f398,http://creativecommons.org/licenses/by-nc-sa/2.5/it/,
c_h885,http://creativecommons.org/licenses/by/2.5/it/,
c_g224,http://creativecommons.org/licenses/by/4.0/deed.it,"(CC BY
              4.0)"
c_b476,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia
c_i914,https://creativecommons.org/licenses/by/4.0/deed.it,Creative Commons Attribution 4.0
c_l995,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,2008 - 2019
c_e632,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT
c_a082,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,2008 - 2019
c_a578,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,2008 - 2019
c_h077,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,2008 - 2019
c_l425,http://creativecommons.org/licenses/by-nc-sa/3.0/,Attribuzione-Non commerciale-Condividi allo stesso modo 3.0 Unported
c_l219,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT
c_l848,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,Copyright (c) 2007 Comune di Ziano Piacentino
c_m170,http://creativecommons.org/licenses/GPL/2.0/,GNU GPL
