ipa,homepage,status_code
c_f929,http://www.comune.nomi.tn.it,200
c_c689,http://www.comune.cimadolmo.tv.it,200
c_c851,http://www.comune.collebrianza.lc.it,200
c_b597,http://www.comune.canepina.vt.it,200
c_d858,http://www.comune.gaiole.si.it,200
c_d680,http://www.comune.fonte.tv.it,200
c_g389,http://www.comune.paviadiudine.ud.it,200
c_a920,http://www.boffaloraticino.it,200
c_f097,http://www.comune.meldola.fc.it,200
c_f083,http://www.comune.medicina.bo.it,200
c_c845,http://www.comune.collazzone.pg.it,200
c_h910,http://www.sangiovannibianco.org,200
c_l586,http://www.comune.vallanzengo.bi.it,200
c_l4878,http://www.terredifrontiera.co.it,200
c_h938,http://www.comune.sangregorionellealpi.bl.it,200
c_f915,http://www.comune.noci.ba.it,200
c_d864,http://www.comune.galatro.rc.it,200
c_d870,http://www.comune.gallese.vt.it,200
c_f901,http://www.comune.nizzadisicilia.me.it,200
c_c879,http://www.comune.colliano.sa.it,200
c_b554,http://www.comune.camponogara.ve.it,200
c_l579,http://www.comune.valgoglio.bg.it,200
c_f732,http://www.comune.morino.aq.it,200
c_i401,http://www.comune.sanvitodileguzzano.vi.it,200
c_f054,http://www.comune.matino.le.it,200
c_i367,http://www.santostefanobelbo.it/,200
c_d643,http://www.comune.foggia.it,200
c_b232,http://comune.bruzolo.to.it,ConnectionError
c_m101,http://www.comune.vizzolaticino.va.it,200
c_m115,http://www.comune.volla.na.it,200
c_e549,http://www.comunelesina.it,200
c_hi5a,http://www.comune.tinnura.or.it,200
c_i373,http://www.sanstino.it,ReadTimeout
c_g438,http://www.comune.penne.pe.it,200
c_a049,http://www.comune.acquavivaplatani.cl.it,200
c_f726,http://www.comune.morgex.ao.it,200
c_l737h,http://www.comune.veniano.co.it,200
c_i415,http://www.comune.sanzenoneallambro.mi.it,200
c_c886,http://www.comune.colmurano.mc.it/,200
c_b540,http://www.comune.champorcher.ao.it,200
c_d131,http://www.comune.crandola.lc.it,200
c_h723,http://www.comune.saltrio.va.it,200
c_g410,http://www.comune.pedesina.so.it,200
c_a061,http://www.comune.affi.vr.it,200
c_e207,http://www.comune.grottammare.ap.it,200
c_l545,http://www.comune.valbrembo.bg.it,200
c_c676,http://www.comune.cicerale.sa.it,200
c_d119,http://www.comune.costigliole.at.it,200
c_l223,http://www.comune.tornaco.no.it,200
c_f068,http://www.comune.mazzin.tn.it,200
c_a707,http://www.comune.bassiano.lt.it/,200
c_h045,http://www.comune.presenzano.ce.it,200
c_g376,http://www.comune.pattada.ss.it,200
c_a713,http://www.comune.bastiglia.mo.it,200
c_g362,http://www.comune.pastena.fr.it,200
c_l237,http://www.comune.torrazzacoste.pv.it,200
c_c104,http://www.comune.castelforte.lt.it,200
c_e213,http://www.comune.grottole.mt.it,200
c_l551,http://www.comune.valdagno.vi.it,200
c_c662,http://www.comune.chiusi.si.it,200
c_g404,http://www.comune.pedavena.bl.it,200
c_a075,http://www.comune.agna.pd.it,200
c_i429,http://www.comune.sardigliano.al.it,200
c_f295,http://www.comune.moliterno.pz.it,200
c_e944,http://www.comune.maretto.at.it,200
c_d482,http://www.comune.faloppio.co.it,200
c_b795,http://www.comune.carmignanodibrenta.pd.it,200
c_a288,http://www.comune.anfo.bs.it,200
c_l974,http://www.comune.villanova-mondovi.cn.it,200
c_b959,http://www.comune.caselleinpittari.sa.it,200
c_d496,http://www.comune.faravicentino.vi.it,200
c_e788,http://www.comunedimacomer.it,200
c_f281,http://www.comune.molare.al.it,200
c_e978,http://www.comune.marta.vt.it,200
c_h284,http://www.comune.rifiano.bz.it,200
c_i824,http://www.comune.sommatino.cl.it,200
c_g809,http://www.comune.pombia.no.it,200
c_b971,http://comune.casirate.bg.it,200
c_l784,http://www.comune.verretto.pv.it,200
c_l948,http://www.villafrancapiemonte.to.it,ConnectionError
c_b965,http://www.comunecasier.it,200
c_i830,http://www.comune.sorisole.bg.it,ReadTimeout
c_m303,http://www.comune.ronzo-chienis.tn.it,200
