ipa,license,other,word,cod_amm,des_amm,Comune,nome_resp,cogn_resp,Cap,Provincia,Regione,sito_istituzionale,Indirizzo,titolo_resp,tipologia_istat,tipologia_amm,acronimo,cf_validato,Cf,mail1,tipo_mail1,mail2,tipo_mail2,mail3,tipo_mail3,mail4,tipo_mail4,mail5,tipo_mail5,url_facebook,url_twitter,url_googleplus,url_youtube,liv_accessibili,slug,name,lat,lng
c_d077,http://creativecommons.org/licenses/by/3.0/it/deed.it,CC Attr. 3.0,,c_d077,Comune di Cortona,Cortona,Francesca,Basanieri,52044,AR,Toscana,http://www.comunedicortona.it,"Piazza Della Repubblica, 13",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,137520516,protocollo@pec.comune.cortona.ar.it,pec,elettorale@pec.comune.cortona.ar.it,pec,anagrafe@pec.comune.cortona.ar.it,pec,segretario@pec.comune.cortona.ar.it,pec,,,,,,,0,cortona,Cortona,43.2741,11.9878
c_a171,http://creativecommons.org/licenses/by/2.5/it/,,,c_a171,Comune di Albonese,Albonese,Andrea,Bazzano,27020,PV,Lombardia,http://www.comune.albonese.pv.it,"Via Negrone Manara, 21",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,83000470183,comune.albonese@legalmail.it,pec,,,,,,,,,,,,,0,albonese,Albonese,45.2934,8.708
c_d817,http://creativecommons.org/licenses/by-sa/3.0/deed.it,Creative Commons - Attribuzione 3.0,,c_d817,Comune di Fuipiano Valle Imagna,Fuipiano Valle Imagna,Valentina,Zuccala,24030,BG,Lombardia,http://www.comune.fuipianovalleimagna.bg.it,"Via Arnosto, 25",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,542030168,comune.fuipianovalleimagna@pec.regione.lombardia.it,pec,fuipiano_valleimagna@tin.it,altro,tecnico@comune.fuipianovalleimagna.bg.it,altro,,,,,,,,,1,fuipiano-valle-imagna,Fuipiano Valle Imagna,45.8506,9.526
c_i048,http://creativecommons.org/licenses/by/2.5/it/,,,c_i048,Comune di Sannazzaro De' Burgondi,Sannazzaro de' Burgondi,Marinella,Fassi,27039,PV,Lombardia,http://www.comune.sannazzarodeburgondi.pv.it,"Via Cavour, 18",Responsabile Struttura 4,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,409830189,protocollo.comunesannazzarodeburgondi@pec.it,pec,,,,,,,,,https://it-it.facebook.com/ilburgundo/,,https://www.youtube.com/channel/UCvKkELCE3byPbkyOs9fIGZQ/featured,,0,sannazzaro-de-burgondi,Sannazzaro de' Burgondi,45.1033,8.9075
c_b825,https://creativecommons.org/licenses/by/2.0/,licenza CC,,c_b825,Comune di Carpineti,Carpineti,Tiziano,Borghi,42033,RE,Emilia Romagna,http://www.comune.carpineti.re.it,"Piazza Matilde Di Canossa, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,445630353,comune.carpineti@legalmail.it,pec,comune@comune.carpineti.re.it,altro,,,,,,,,,,,0,carpineti,Carpineti,44.4571,10.5208
c_f866,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia,,c_f866,Comune di Nemoli,Nemoli,Antonio,Cavallaro,85040,PZ,Basilicata,http://www.comune.nemoli.pz.it,"Piazza S. Maria Delle Grazie, 2",responsabile area contabile - amministrativa,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,83000430765,protocollonemoli@ebaspec.it,pec,comunenemoli@rete.basilicata.it,altro,,,,,,,,,,,0,nemoli,Nemoli,40.0686,15.8013
c_e662,http://creativecommons.org/licenses/by/2.5/it/,,,c_e662,Comune di Lomello,Lomello,Silvia,Ruggia,27034,PV,Lombardia,http://www.comune.lomello.pv.it,"Piazza Castello, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,485840185,ragioneria.comune.lomello@pec.regione.lombardia.it,pec,,,,,,,,,,,,,0,lomello,Lomello,45.122,8.7974
c_l357,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia,,c_l357,Comune di Trecchina,Trecchina,Ludovico,Iannotti,85049,PZ,Basilicata,https://trecchina.gov.it/,Via Roma 17,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,84002110769,trecchina@pec.it,pec,,,,,,,,,@ComuneTrecchina,,,,0,trecchina,Trecchina,40.0277,15.7756
c_e793,https://creativecommons.org/licenses/by/4.0/deed.it,Creative Commons Attribution 4.0,,c_e793,Comune di Madignano,Madignano,Guido,Ongaro,26020,CR,Lombardia,https://www.comune.madignano.cr.it,"Via Liberta', 22",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,302860192,pec@pec.comune.madignano.cr.it,pec,info@comune.madignano.cr.it,altro,,,,,,,,,,,1,madignano,Madignano,45.3467,9.7244
c_e746,http://creativecommons.org/licenses/by/2.5/it/,,,c_e746,Comune di Luogosano,Luogosano,Vincenzino,Buono,83040,AV,Campania,http://www.comune.luogosano.av.it,"Via F. De Sanctis, 30",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,82000610640,ragioneria.luogosano@cert.irpinianet.eu,pec,anagrafe.luogosano@cert.irpinianet.eu,pec,tributi@comune.luogosano.av.it,altro,utc@comune.luogosano.av.it,altro,protocollo.luogosano@cert.irpinianet.eu,pec,,,,,1,luogosano,Luogosano,40.9883,14.9917
