ipa,homepage,status_code
c_f929,http://www.comune.nomi.tn.it/L-amministrazione/Comunicazione/Privacy-e-note-legali,200
c_c851,http://www.comune.collebrianza.lc.it/zf/index.php/privacy/index/note-legali,200
c_d680,http://www.comune.fonte.tv.it/zf/index.php/privacy/index/note-legali,200
c_g389,http://www.comune.paviadiudine.ud.it/index.php?id=36940,200
c_c845,http://www.comune.collazzone.pg.it/index.php/amministrazione/note-legali,200
c_h910,http://www.sangiovannibianco.org/zf/index.php/privacy/index/note-legali,200
c_l586,http://www.comune.vallanzengo.bi.it/Home/Pagine-del-Comune?ID=4835,200
c_l4878,http://www.terredifrontiera.co.it/notelegali.aspx,200
c_h938,http://www.comune.sangregorionellealpi.bl.it/myportal-servlet-container/search-getpage?template=/regioneveneto/myportal/hierarchicalLifts&type=rve:html-generico&ente=SanGregorioAlpi&scheda=noteLegali&nodeName=NoteLegali.html&source=ALFRESCO&area=Amministrazione,200
c_f915,http://www.comune.noci.ba.it/index.php/note-legali,200
c_d864,http://www.comune.galatro.rc.it/index.php?action=index&p=1685,200
c_c879,http://www.comune.colliano.sa.it/index.php?action=index&p=10002,200
c_b554,http://www.comune.camponogara.ve.it/zf/index.php/privacy/index/note-legali,200
c_i401,http://www.comune.sanvitodileguzzano.vi.it/web/svleguzzano/area-istituzionale/area-istituzionale-interna?p_p_id=ALFRESCO_MYPORTAL_CONTENT_PROXY_WAR_myportalportlet_INSTANCE_Yl0I&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&template=/regioneveneto/myportal/hierarchicalLifts&type=rve:html-generico&ente=SVLeguzzano&scheda=noteLegali&nodeName=NoteLegali.html,200
c_i367,http://www.santostefanobelbo.it/Home/Pagine-del-Comune?ID=5062,200
c_d643,https://www.comune.foggia.it/note-legali/,200
c_m101,http://www.comune.vizzolaticino.va.it/zf/index.php/privacy/index/note-legali,200
c_m115,https://comune.volla.na.it/menu/17480/note-legali,200
c_f726,http://www.comune.morgex.ao.it/index.php/14-cat-serv-online/86-art-note-legal,200
c_l737h,http://www.comune.veniano.co.it/zf/index.php/privacy/index/note-legali,200
c_i415,https://www.comune.sanzenoneallambro.mi.it/note-legali/,200
c_c886,http://www.comune.colmurano.mc.it/note-legali/,200
c_d131,http://www.comune.crandola.lc.it/zf/index.php/privacy/index/note-legali,200
c_h723,http://www.comune.saltrio.va.it/../../servizi/Menu/dinamica.aspx?idSezione=22862&idArea=22864&idCat=16888&ID=16888&TipoElemento=categoria,403
c_g410,http://www.comune.pedesina.so.it/zf/index.php/privacy/index/note-legali,200
c_e207,http://www.comune.grottammare.ap.it/contents/Note+Legali/1103,200
c_l545,http://www.comune.valbrembo.bg.it/zf/index.php/privacy/index/note-legali,200
c_d119,http://www.comune.costigliole.at.it/Home/Pagine-del-Comune?ID=3427,200
c_f068,http://www.comune.mazzin.tn.it/Il-Comune/Comunicazione/Privacy-e-note-legali/Note-legali,200
c_h045,http://www.comune.presenzano.ce.it/pagina563_note-legali.html,200
c_g376,http://www.comune.pattada.ss.it/note-legali/,500
c_a713,http://www.comune.bastiglia.mo.it/note_legali/,200
c_l237,http://www.comune.torrazzacoste.pv.it/note-legali,200
c_e213,http://www.comune.grottole.mt.it/zf/index.php/privacy/index/note-legali,200
