cod_amm,des_amm,Comune,nome_resp,cogn_resp,Cap,Provincia,Regione,sito_istituzionale,Indirizzo,titolo_resp,tipologia_istat,tipologia_amm,acronimo,cf_validato,Cf,mail1,tipo_mail1,mail2,tipo_mail2,mail3,tipo_mail3,mail4,tipo_mail4,mail5,tipo_mail5,url_facebook,url_twitter,url_googleplus,url_youtube,liv_accessibili
c_0319,Comune di Dolcedo,Dolcedo,Antonio Fausto,Angeloni,18020,IM,Liguria,http://www.comune.dolcedo.im.it,"Piazza Doria, 35",Segretario,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00246190086,comune.dolcedo@legalmail.it,pec,,,,,,,,,,,,,0
c_067039,Comune di Sant'Omero,Sant'Omero,Andrea,Luzii,64027,TE,Abruzzo,http://www.comune.santomero.te.it,"Via Vittorio Veneto, 52",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,82002660676,protocollo@pec.comune.santomero.te.it,pec,,,,,,,,,,,,,0
c_0899,Comune di Gambettola,Gambettola,Maria Letizia,Bisacchi,47035,FC,Emilia Romagna,http://www.comune.gambettola.fc.it,"Piazza II Risorgimento, 6",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00607230406,comune.gambettola@cert.provincia.fc.it,pec,ragioneria@comune.gambettola.fc.it,altro,,,,,,,,,,,1
c_0res,Comune di Corte Brugnatella,Corte Brugnatella,Stefano,Gnecchi,29020,PC,Emilia Romagna,http://www.comune.cortebrugnatella.pc.it,Piazza S.Balletti 2,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80004220333,comune.cortebrugnatella@sintranet.legalmail.it,pec,ragioneria.cortebrugnatella@sintranet.it,altro,,,,,,,,,,,0
c_11j8,Comune di Maropati,Maropati,Domenico,Carullo,89020,RC,Calabria,http://www.comune.maropati.rc.it,"Via On. Bettino Craxi,",Responsabile Servizio Finaziario,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,82000870806,protocollo.maropati@asmepec.it,pec,ragioneria.maropati@asmepec.it,pec,sindaco.maropati@asmepec.it,pec,,,,,,,,,0
c_1jzf,Comune di Vallio Terme,Vallio Terme,Franco,Scotuzzi,25080,BS,Lombardia,http://www.comune.vallioterme.bs.it,Via Repubblica 1,Vice Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00843830175,protocollo@pec.comune.vallioterme.bs.it,pec,ragioneria@comune.vallioterme.bs.it,altro,,,,,,, , , ,,0
c_1k21,Comune di Caderzone Terme,Caderzone Terme,Marcello,Mosca,38080,TN,Trentino Alto Adige,http://www.comune.caderzoneterme.tn.it,Via Regina Elena 45,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00293350229,comune@pec.caderzone.net,pec,comune@caderzone.net,altro,anagrafe@pec.caderzone.net,pec,contabilita@pec.caderzone.net,pec,,,,,,,0
c_295,Comune di Incisa Scapaccino,Incisa Scapaccino,Matteo,Massimelli,14045,AT,Piemonte,http://www.comune.incisascapaccino.at.it,"Piazza Ferraro, 13",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,82002310058,incisa.scapaccino@cert.ruparpiemonte.it,pec,,,,,,,,,,,,,0
c_3740,Comune di Val di Zoldo,Val di Zoldo,Daniela,De Fanti,32010,BL,Veneto,http://www.comune.valdizoldo.bl.it,"Piazza Giovanni Angelini, 1",Responsabile Area Economico Finanziaria,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,val di zoldo,S,01184730255,comune.valdizoldo.bl@pecveneto.it,pec,valdizoldo@clz.bl.it,altro,ragioneria.valdizoldo@clz.bl.it,altro,,,,,,,,,0
c_3rhm,Comune di Cellino Attanasio,Cellino Attanasio,Giuseppe,Del Papa,64036,TE,Abruzzo,http://www.comunecellinoattanasio.gov.it,Via Rubini 1,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,81000350678,postacert@pec.comunecellinoattanasio.gov.it,pec,,,,,,,,,,,,,2
c_670,Comune di Monticelli Pavese,Monticelli Pavese,Enrico,Berneri,27010,PV,Lombardia,http://www.halleyweb.com/c018099,"Via Roma, 11/A",Sindaco Protempore,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00470500182,finanziario.comune.monticelli@pec.regione.lombardia.it,pec,RAGIONERIA@COMUNE.MONTICELLIPAVESE.PV.IT,altro,ANAGRAFE@COMUNE.MONTICELLIPAVESE.PV.IT,altro,,,,,,,,,1
c_707,Comune di Lozza,Lozza,Giuseppe,Licata,21040,VA,Lombardia,http://www.comune.lozza.va.it,Piazza Roma,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00341780120,comune.lozza@pec.regione.lombardia.it,pec,segreteria@comune.lozza.va.it,altro,,,,,,,,,,,0
c_8ogv,Comune di Cerveno,Cerveno,Marzia,Romano,25040,BS,Lombardia,http://www.comune.cerveno.bs.it,Piazza Prudenzini 2,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00980200174,protocollo@pec.comune.cerveno.bs.it,pec,info@comune.cerveno.bs.it,altro,,,,,,,,,,,0
c_92rb,Comune di Castelbianco,Castelbianco,Valerio,Scola,17030,SV,Liguria,http://www.comune.castelbianco.sv.it,Via Veravo N. 11,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00340200096,comune.castelbianco@legalmail.it,pec,castelbianco@libero.it,altro,,,,,,,,,,,0
